Author;Publication count;PageRank;Authority score
Yaron Kanza;1;0.004706347784583203;8.142701768284166e-30
Thanasis Hadzilacos;1;0;0
Edward P. F. Chan;1;0.010416666666666666;1.814839282014874e-94
Stéphane Grumbach;1;0.010416666666666666;1.814839282014874e-94
Daniel P. Miranker;1;0.010416666666666666;1.814839282014874e-94
Dimitrios Gunopulos;2;0.017378899347480836;8.522648319625683e-10
Tomasz Imielinski;1;0.010416666666666666;1.814839282014874e-94
Héctor J. Hernández;1;0.010416666666666666;1.814839282014874e-94
Volkert Brosda;1;0.010416666666666666;1.814839282014874e-94
James P. Delgrande;1;0;0
Gultekin Özsoyoglu;1;0.010416666666666666;1.814839282014874e-94
Michael Benedikt;2;0.010416666666666666;1.9761849806883772e-54
Wen K. Lee;1;0.010416666666666666;1.9761849806883772e-54
Gaston H. Gonnet;1;0;0
Yehoshua Sagiv;2;0.014794577809534686;2.5129437817571988e-29
David Maier;1;0.010416666666666666;1.814839282014874e-94
Minos N. Garofalakis;1;0.010159931134467616;3.6481001905404607e-26
Jon McAlister;1;0.01041666666666667;2.1518748886472002e-14
David Harel;1;0;0
Yannis E. Ioannidis;1;0.010159931134467616;3.6481001905404607e-26
Steven Dawson;1;0.010416666666666666;5.1995414976742785e-31
Georg Gottlob;1;0.010416666666666666;1.814839282014874e-94
Kim S. Larsen;1;0;0
Stavros S. Cosmadakis;1;0.005806001621590003;4.615513158965756e-43
Yoav Raz;1;0;0
Carlo Zaniolo;1;0.010416666666666666;1.814839282014874e-94
Y. C. Tay;1;0.00999071650768199;1.561389204696784e-48
Gösta Grahne;2;0.01519275105160379;2.678230061619454e-74
Domenico Saccà;1;0.010416666666666666;1.814839282014874e-94
Marc H. Graham;2;0.00589202068821101;5.595698004109638e-50
Chung-Min Chen;1;0.010416666666666666;1.814839282014874e-94
Kari-Jouko Räihä;1;0.0080286244741981;1.339115030809727e-74
Russell Greiner;1;0;0
Luc Segoufin;1;0.010416666666666666;1.814839282014874e-94
Divyakant Agrawal;1;0.010416666666666666;1.814839282014874e-94
Shaibal Roy;1;0;0
Vassilis J. Tsotras;1;0.010131848054650033;6.452228278241305e-10
Christine T. Cheng;1;0.010416666666666666;1.814839282014874e-94
Wang Chiew Tan;1;0.010416666666666666;1.9761849806883772e-54
Doron Rotem;1;0;0
Bernhard Seeger;1;0.010131848054650032;6.452228278241305e-10
Li-Yan Yuan;2;0.01519275105160379;2.678230061619454e-74
Sabrina De Capitani di Vimercati;1;0.010416666666666666;5.1995414976742785e-31
Surajit Chaudhuri;1;0;0
Gottfried Vossen;1;0.010416666666666666;1.814839282014874e-94
Donghui Zhang;1;0.010131848054650033;6.452228278241305e-10
Brian Babcock;1;0.01041666666666667;2.1518748886472002e-14
Allen Van Gelder;1;0.010416666666666666;1.814839282014874e-94
Sridhar Rajagopalan;1;0.01041666666666667;0.16666666591084828
Pierangela Samarati;1;0.010416666666666666;5.1995414976742785e-31
Eljas Soisalon-Soininen;1;0.010416666666666666;1.814839282014874e-94
Judith Klavans;1;0;0
Jeffrey D. Ullman;1;0.010246992461659943;1.0377992362747125e-49
Bennet Vance;1;0.010416666666666666;1.814839282014874e-94
Håkan Jakobsson;1;0;0
Leopoldo E. Bertossi;1;0.010416666666666666;1.9761849806883772e-54
Charu C. Aggarwal;1;0;0
Ravi Kumar;1;0.01041666666666667;0.16666666591084828
Theodore Johnson;1;0.006268469071317792;4.857603876881616e-49
Nathan Goodman;2;0.014760581249221664;1.896025738359852e-48
Jan Chomicki;2;0.010416666666666666;1.9761849806883772e-54
Oded Shmueli;1;0.010860802579738474;2.3136671710176732e-29
Dennis Shasha;2;0.011072849997429883;1.0756288170086223e-48
C. Mohan;1;0.007656759695543625;2.0351827932809374e-26
D. Sivakumar;1;0.01041666666666667;0.16666666591084828
Alexander Markowetz;1;0.010131848054650033;6.452228278241305e-10
Shivnath Babu;1;0.01041666666666667;2.1518748886472002e-14
Udo Kelter;1;0;0
Marc Spielmann;1;0;0
Peter Buneman;1;0.010416666666666666;1.9761849806883772e-54
