Author;Publication count;PageRank;Authority score
Joseph Y. Halpern;3;0;0
David L. Martin 0001;1;0;0
Jeonghun Yoon;1;0;0
Sophie Cluet;1;0;0
Alan Nash;5;0;0
James Wu;1;0;0
Alex Thomo;1;0;0
Michael Kifer;6;0;0
Eljas Soisalon-Soininen;7;0;0
I. V. Ramakrishnan;2;0;0
Maurice Herlihy;1;0;0
Magdalena Balazinska;1;0;0
Erik Vee;3;0;0
Bing-Rong Lin;1;0;0
Ke Yi;10;0;0
Kamesh Munagala;5;0;0
Marc Friedman;1;0;0
Jürgen Seib;1;0;0
Lars Arge;4;0;0
Bogdan Cautis;1;0;0
H. F. Ting;1;0;0
Miguel Romero 0001;3;0;0
John L. Bruno;1;0;0
Domenico Saccà;5;0;0
Ganesh Ramesh;1;0;0
Foto N. Afrati;7;0;0
George H. L. Fletcher;1;0;0
Christine T. Cheng;1;0;0
Yoo Ah Kim;1;0;0
Bogdan Alexe;1;0;0
Sudipto Guha;6;0;0
Andrew McGregor 0001;8;0;0
Michael Benedikt;14;0;0
Athena Roussou;1;0;0
Srinivasa Rao Satti;1;0;0
Guido Moerkotte;1;0;0
Rafail Ostrovsky;2;0;0
Anne Condon;1;0;0
Guido Nerjes;1;0;0
Dino Karabeg;1;0;0
Va-On Tam;1;0;0
George Papageorgiou;1;0;0
Sergey Melnik;1;0;0
Kook Jin Ahn;1;0;0
Phokion G. Kolaitis;25;0;0
Francesco M. Malvestuto;2;0;0
Guy Van den Broeck;1;0;0
Giuseppe Ottaviano;1;0;0
Sergei Vassilvitskii;1;0;0
Frank Wm. Tompa;1;0;0
Michel de Rougemont;2;0;0
Hao Yang;1;0;0
Johannes Gehrke;7;0;0
S. Muthukrishnan;12;0;0
Tomasz Gogacz;2;0;0
Dean Jacobs;1;0;0
Pawel Parys;4;0;0
Walid G. Aref;1;0;0
Howard J. Karloff;1;0;0
J. D. Tygar;1;0;0
Isolde Adler;1;0;0
Carlos A. Hurtado;3;0;0
Patricio V. Poblete;1;0;0
