Author;Publication count;PageRank;Authority score
Andreas Behrend;1;0;0
Christophe Lécluse;1;0.000931099;5.45E-235
Jeff Erickson;2;0.00090713;4.37E-05
Victor Vianu;28;0.005470876;0.017662138
Adam Kirsch;1;0.000803757;7.75E-05
Susan B. Davidson;4;0.001669465;0.000984512
Michel de Rougemont;2;0.000931099;5.45E-235
Antonella Pelaggi;1;0.000513257;1.77E-06
Gerd G. Hillebrand;2;0.000573549;0.002469102
J. Ian Munro;2;0.000716282;2.19E-05
Cristian Riveros;2;0.000674032;0.001071257
Shashi K. Gadia;2;0.000931099;5.45E-235
Ashish Kumar Gupta;1;0.000399417;0.000470903
Pierre Bourhis;2;0.000740249;0.001028925
Wuzhou Zhang;2;0.001117982;4.38E-05
Sumit K. Sanghai;1;0.000533298;0.000194837
Nicola Leone;4;0.001088387;0.001002047
Sheng Zhong;1;0.000562746;3.40E-06
Toon Calders;2;0.000586672;0.000194178
Moni Naor;1;0.000401339;0.001808087
Thanasis Hadzilacos;4;0.000581946;0.00090459
Kunio Murakami;1;0.000931099;2.84E-111
Sourav Chatterji;1;0.000651952;9.08E-06
Mathieu Verbaere;1;0.000931099;1.54E-150
A. Pavan;1;0.000548173;0.000174123
Dennis E. Shasha;6;0.00221927;4.17E-05
Daniel Deutch;4;0.001086167;0.001975205
Wim Martens;8;0.002218438;0.002405575
Prasang Upadhyaya;1;0.000622572;0.000588434
Enrico Franconi;1;0.000931099;5.45E-235
Alessandro Panconesi;1;0.000737013;0.000248341
Rada Chirkova;3;0.000596017;1.87E-05
Sudipto Guha;6;0.001468656;0.000353183
Irit Dinur;1;0.000325025;1.09E-08
B. Srivathsan;1;0.000931099;5.45E-235
Alberto O. Mendelzon;14;0.003279225;0.004115421
Damien Sereni;1;0.000931099;1.54E-150
Paulo A. S. Veloso;1;0.000584769;0.000126999
Yung-Chun (Justin) Wan;1;0.000506117;2.21E-07
Stephen Blott;1;0.000618907;5.68E-08
Luciana S. Buriol;1;0.000897263;1.02E-07
Rob Johnson;1;0.000971947;1.20E-71
Freddy Dumortier;1;0.000493344;0.000582866
Di Wang;1;0.000688891;6.44E-05
Vadim Savenkov;1;0.000460487;0.00190722
Egor V. Kostylev;1;0.000445683;0.000141116
Chinmay Hegde;1;0.000931099;2.00E-128
Pankaj K. Agarwal;9;0.003948373;0.00016811
Charles Paperman;1;0.000505541;7.23E-05
Kostoula Papakonstantinou;1;0.000577758;0.000952466
Yuli Ye;1;0.000931099;1.04E-181
Konstantinos Tsakalidis;1;0.000719716;1.71E-06
Babak Bagheri Hariri;1;0.000508566;0.003561256
Ramakrishnan Srikant;1;0.000458341;0.000118912
Dan Olteanu;1;0.000931099;5.45E-235
Jean-Marc Stévenne;1;0.000792251;9.50E-163
Peter Scheuermann;1;0.000931099;5.45E-235
Jean-Louis Lassez;2;0.000616425;0.000126694
Seppo Sippu;2;0.000688288;1.40E-05
A. Mecchia;1;0.000570176;1.77E-06
Doron Rotem;6;0.002231167;6.03E-164
Marc Andries;1;0.000506258;0.000561264
Alexandru Berlea;1;0.00068029;1.66E-05
Juan L. Reutter;5;0.001509552;0.002757919
Gábor Tardos;1;0.000931099;1.04E-181
Sharad Mehrotra;2;0.001007317;0.000345096
Daniel Keren;1;0.000931099;1.04E-181
Morten Stöckel;1;0.000440814;0.000129928
Martín Abadi;1;0.000931099;5.45E-235
Hamid Pirahesh;2;0.000601388;0.000758213
Aris M. Ouksel;2;0.000931099;5.45E-235
Sai Surya Kiran Evani;1;0.000651952;9.08E-06
Kenneth A. Ross;9;0.000822532;0.001086977
Jianwen Su;11;0.002045819;0.003025811
Jafar Adibi;1;0.00066816;1.89E-05
Qin Zhang;5;0.001561788;0.000766325
François Bry;1;0;0
Michael J. Carey;3;0.001208795;1.20E-144
Timos Antonopoulos;1;0.000339037;0.000505291
Yang Cao;2;0.000791408;0.001626668
Kyle Fox;1;0.000526328;2.49E-05
Domenico Saccà;5;0.001327639;3.45E-05
Alexei P. Stolboushkin;2;0.000931099;1.04E-181
Håkan Jakobsson;2;0;0
Shikha Singh 0002;1;0.000971947;1.20E-71
Szymon Torunczyk;1;0.000379249;0.000508627
Bassem Sayrafi;1;0.000251722;0.000384359
Aleksandar Nikolov;1;0.000613022;6.62E-05
Alberto Marchetti-Spaccamela;2;0.001308825;1.79E-06
Man Hon Wong;4;0.00078394;8.09E-08
David S. Johnson;1;0.000931099;5.45E-235
Hasan Davulcu;2;0.000991479;0.00010993
Ronald Fagin;22;0.00547;0.035336524
Martin J. Strauss;1;0.000515509;4.10E-05
Katherine A. Morris;1;0;0
Jean-Marc Pugin;1;0.000931099;5.45E-235
Giorgio Ausiello;1;0.000532176;2.98E-07
Sabrina De Capitani di Vimercati;1;0.000970798;2.38E-148
Gagan Aggarwal;1;0.001003289;4.30E-06
Sudeepa Roy;1;0.000681426;0.000773023
Mangesh Gupte;1;0.000931099;5.45E-235
Alexander Markowetz;1;0.000710622;1.24E-06
Dirk Leinders;1;0.000248257;0.00035867
Christian Sohler;1;0.000897263;1.02E-07
Dirk Van Gucht;19;0.004745851;0.00789611
Mikolaj Bojanczyk;5;0.001215247;0.001288584
C. Aiswarya;1;0.000674709;0.000365757
Moritz Müller;1;0.000707444;1.69E-208
Mariano P. Consens;2;0.0003809;0.000753035
Divesh Srivastava;10;0.002920791;0.003446337
Rossano Venturini;1;0.000931099;5.45E-235
Jonathan Panttaja;1;0.000335702;0.002551178
Oliver M. Duschka;2;0.000512297;0.000887587
John Turek;1;0.000653345;2.13E-06
Makoto Murata;1;0;0
Yinian Qi;1;0.000707444;1.69E-208
Richard Hull;13;0.00273718;0.003899362
Michael A. Langston;1;0.000931099;5.45E-235
Gustavo Alonso;4;0.001834136;3.20E-07
Tomasz Gogacz;2;0.000931099;1.04E-181
Mark H. Nodine;1;0.00047874;2.06E-05
Adam Sealfon;1;0;0
Mengling Feng;1;0.000731891;0.000140889
David W. Stemple;2;0.001134743;1.66E-155
Piotr Indyk;6;0.001877644;0.000190231
Alfred V. Aho;1;0;0
Edward P. F. Chan;6;0.001273275;0.000204961
Guizhen Yang;2;0.000864528;0.000104673
Christopher Unkel;1;0.000931099;2.94E-97
Thomas Neumann 0001;1;0.000451654;1.28E-05
Yannis Theodoridis;2;0.00136593;2.33E-175
T. H. Merrett;1;0.000931099;5.45E-235
M. Spyratos;1;0.000383925;0.000961759
Gregory Valiant;1;0.000437876;0.000260939
Kien A. Hua;1;0.000931099;1.04E-181
Rodney W. Topor;1;0.000437944;2.72E-06
Haim Kaplan;3;0.000940223;0.000685782
Eric Gribkoff;1;0.000507414;0.000534736
Christos H. Papadimitriou;20;0.004384354;0.015024246
Stéphane Grumbach;7;0.001278618;0.001877502
Siddharth Barman;1;0.000688891;6.44E-05
Christine T. Cheng;1;0.000931099;5.45E-235
Ning Wu;1;0.000970798;2.38E-148
Mark Sandler;1;0.000360953;1.08E-08
Reinhard Pichler;8;0.002105661;0.003799759
Dimitris Achlioptas;1;0;0
Robert C. Steinke;1;0.000478301;1.94E-07
Geppino Pucci;1;0.000803757;7.75E-05
Othmane Rezine;1;0.000674709;0.000365757
Anand Ranganathan;1;0.000931099;1.54E-150
Ramsey W. Haddad;1;0.000298432;5.82E-05
Véronique Royer;1;0;0
George A. Mihaila;1;0.000272221;0.000200326
Elizabeth A. M. Shriver;1;0.000444258;6.28E-05
Sanjeev Khanna;4;0.001228903;0.002768521
Vinayaka Pandit;1;0.00078391;3.17E-05
Arnaud Durand 0001;1;0.000378604;0.000478443
Paul G. Spirakis;1;0.000707444;1.69E-208
Santosh Vempala;2;0.001067686;0.000915476
Jay H. Vaishnav;1;0.000931099;5.45E-235
Roberto Grossi;2;0.000949414;3.87E-05
Bo Pang;1;0.000860959;0.001336124
Frank Thomson Leighton;1;0;0
Markus Krötzsch;1;0.000351455;1.27E-05
Vanja Josifovski;2;0.000931099;2.00E-128
Heiko Schuldt;2;0.000458951;5.15E-08
Sheau-Dong Lang;1;0.000931099;1.04E-181
Latha S. Colby;1;0.000610488;0.000425865
Phokion G. Kolaitis;25;0.005080334;0.033061083
Swaminathan Sankararaman;1;0.000522097;1.08E-05
Timos K. Sellis;1;0.000526633;1.07E-175
Jeonghun Yoon;1;0.000719716;1.71E-06
Stephen R. Chestnut;1;0.00063648;0.000134497
Ding-An Chiang;1;0.000449207;1.72E-140
Ray Ford;1;0.000931099;5.45E-235
Shigeki Shibayama;1;0.000931099;2.84E-111
Csaba D. Tóth;1;0.000666754;5.20E-07
Anand Rajaraman;4;0.000719168;0.005503624
Giovambattista Ianni;1;0.000931099;1.54E-150
Erik Vee;3;0.001105618;0.004408772
Gomer Thomas;1;0.000931099;5.45E-235
Shinichi Morishita;4;0.001322423;2.58E-148
Atri Rudra;4;0.00135671;0.000514711
Magdalena Balazinska;1;0.000622572;0.000588434
Riccardo Torlone;1;0.000425254;9.81E-07
Rachel Ben-Eliyahu-Zohary;1;0.000931099;1.54E-150
Meichun Hsu;3;0.001798469;2.06E-169
Sukhamay Kundu;1;0;0
Pablo Barceló Baeza;2;0.000334064;0.001977701
Qi Zhao;1;0.000931099;1.54E-150
Heikki Mannila;6;0.001680705;0.000296416
Michael Merritt;1;0.000755715;1.97E-113
Hans-Werner Six;3;0.001180576;3.69E-07
L. Schnetgöke;1;0.000931099;1.54E-150
Jon M. Kleinberg;2;0.000448989;0.001095354
Mohammed Javeed Zaki;1;0.000931099;1.04E-181
James Wu;1;0.000273118;4.57E-05
Yong Guan;1;0.000931099;5.45E-235
Baldeo K. Taneja;1;0.000915916;1.99E-175
Guido Nerjes;1;0.000507586;7.05E-07
Srikanta Tirthapura;4;0.001168368;0.000336984
Paolo Ferragina;2;0.001067241;0.000289861
Rainer Gemulla;1;0.00054234;6.99E-06
Stephan Kreutzer;1;0;0
Jonathan Goldstein;1;0.000565017;0.000479204
Nina Mishra;2;0.00078094;2.22E-07
Ouri Wolfson;4;0.001218553;0.000172236
Cyrus Shahabi;1;0.000931099;5.45E-235
Sebastian Link;2;0.000931099;1.04E-181
Bart Kuijpers;1;0.000229917;0.000312409
Giansalvatore Mecca;2;0.000850882;9.83E-07
Takeo Kakuta;1;0.000931099;2.84E-111
Kook Jin Ahn;1;0.000386627;5.44E-05
Zoë Abrams;1;0.000504277;0.001511735
Allan Borodin;1;0.000931099;1.04E-181
Dana Angluin;1;0.000655594;0.000898297
William Maniatty;1;0.000931099;1.04E-181
Emmanuel Filiot;1;0.000812619;1.23E-07
Srinivasa Rao Satti;1;0.000296317;9.37E-06
Guozhu Dong;4;0.001036644;0.00135522
Ankur Gupta;1;0.000705045;3.86E-05
Michael Benedikt;14;0.003896707;0.008877962
Tomasz Imielinski;7;0.001219533;0.000196365
Huy Vu;1;0.000434885;0.000454265
Teodor C. Przymusinski;2;0.000931099;1.04E-181
Anil Nigam;1;0.000513086;9.18E-05
Sushil Jajodia;2;0.000949333;8.90E-06
David Gross;1;0.000931099;5.45E-235
Kamalika Chaudhuri;1;0.000897926;1.49E-09
Jian Li;1;0.000420678;8.36E-149
Ron van der Meyden;1;0;0
Paris C. Kanellakis;12;0.002554949;0.006487549
Leonardo Tininini;2;0.000593267;0.0001877
András Z. Salamon;1;0.000445683;0.000141116
Timothy Griffin;1;0.000353648;0.001080867
Andrei Voronkov;2;0.001378408;3.37E-208
Sara Shurin;1;0.000351221;0.001284453
Vashudha Krishnaswamy;1;0.000667431;2.04E-07
Sathiya Keerthi;1;0.000860959;0.001336124
Anuj Dawar;1;0.000413484;0.001691658
Jon McAlister;1;0.000642356;0.000158807
Daniel A. Menascé;1;0.000931099;5.45E-235
Anna C. Gilbert;1;0.000560478;6.79E-05
Cui Yu;1;0.000931099;1.54E-150
Chandra M. R. Kintala;1;0;0
Nicolas Spyratos;5;0.000926022;0.001567865
Richard T. Snodgrass;1;0;0
John L. Bruno;1;0.000667431;2.04E-07
Reut Levi;2;0.000669759;2.05E-05
Douglas Stott Parker Jr.;1;0.000425254;9.81E-07
Hans Hermann Brüggemann;1;0.000931099;1.54E-150
Venkatesan T. Chakaravarthy;3;0.001529207;0.00055592
Marc Spielmann;2;0.000431728;0.000377022
Gerome Miklau;3;0.001062802;0.001088074
David Felber;1;0.000356247;1.19E-06
Parosh Aziz Abdulla;1;0.000674709;0.000365757
Seymour Ginsburg;2;0.000559287;0.000190283
Tomás Feder;1;0.001003289;4.30E-06
Jaideep Srivastava;1;0.000517701;2.40E-164
Benoît Groz;3;0.001156494;0.00055907
James P. Delgrande;1;0;0
Emmanuel Waller;4;0.00092103;0.002790231
Keishi Tajima;1;0.000931099;5.45E-235
Yufei Tao;13;0.002710262;3.01E-05
Arthur J. Bernstein;1;0.000931099;5.45E-235
Abraham Silberschatz;12;0.003631394;0.001728673
Samir Khuller;2;0.001424309;4.32E-06
Erich Grädel;1;0.000915916;1.99E-175
Kowtha Murthy;1;0.000931099;1.04E-181
Marcin Przybylko;1;0.000475822;0.000152979
Gereon Frahling;1;0.000897263;1.02E-07
Ravi Krishnamurthy;4;0.001012356;0.000930882
Bart Samwel;1;0.000931099;1.04E-181
David D. Wright;1;0.000296584;2.74E-06
Evgeny Sherkhonov;1;0.000661082;5.28E-05
Ibrahim Kamel;1;0.000458749;4.79E-07
Jehoshua Bruck;1;0.000931099;1.04E-181
Jeffrey D. Ullman;16;0.003062832;0.020778002
John C. Mitchell;1;0;0
Hirohisa Seki;1;0;0
Nisheeth Shrivastava;1;0.000666754;5.20E-07
Michael Kifer;6;0.001883966;0.000938717
John S. Schlipf;2;0.000671198;5.56E-05
S. N. Maheshwari;1;0.000931099;5.45E-235
Michael J. Franklin;1;0.000421201;0.000335999
William E. Weihl;4;0.001465799;3.18E-113
Arturs Backurs;1;0.000931099;5.45E-235
Hung Q. Ngo 0001;5;0.001576304;0.000906004
Salil P. Vadhan;1;0.000565307;1.15E-08
Frank Wm. Tompa;1;0.000901161;3.98E-164
Daniel A. Keim;1;0.000931099;1.54E-150
C. P. Wang;1;0.000931099;5.45E-235
Otto Nurmi;2;0.000696018;1.77E-06
Gaetano Geck;1;0.000546518;0.000795925
Amol Deshpande;2;0.001322423;2.58E-148
Kunal Talwar;1;0.000897926;1.49E-09
Martin Strauss;2;0.000688164;9.99E-05
Nikos Mamoulis;1;0.000915916;1.99E-175
Cristina Civili;1;0.000661082;5.28E-05
Marco Calautti;1;0.000381641;0.000323697
Sebastian Maneth;3;0.001546506;4.41E-05
Charles Elkan;2;0;0
Yuliang Li;1;0.000363284;0.001185435
Chung-Sheng Li;1;0.000931099;1.54E-150
Dino Karabeg;1;0.000577758;0.000952466
Nancy D. Griffeth;1;0.000542924;0.000108418
Martin Grohe;4;0.000848736;0.001612982
Luc Vandeurzen;2;0.000736409;0.001088167
Thomas Perst;1;0.00068029;1.66E-05
Stavros Sintos;1;0.000579749;9.07E-06
Alfred Z. Spector;1;0;0
Hans-Jörg Schek;5;0.002113937;7.38E-07
Sandeep Gupta;1;0.000931099;1.04E-181
Anna Pagh;1;0.000296317;9.37E-06
Takeshi Tokuyama;1;0.000970798;2.38E-148
Sergei Vassilvitskii;1;0.000358945;0.000376082
Abhay Kumar Jha;1;0.000360411;0.000487385
Ravi Kannan;1;0.00067152;4.94E-05
Werner Nutt;4;0.001059774;0.004168381
Diego Figueira;3;0.00026877;6.27E-05
Klaus U. Schulz;1;0.000367612;0.000344367
Halina Przymusinska;1;0.000931099;1.04E-181
Hendrik Jan Hoogeboom;1;0.000931099;1.04E-181
Volkert Brosda;1;0.000272699;9.23E-05
Sergio Flesca;1;0.000639292;0.000381508
Alexander Borgida;1;0;0
